Index  Predicted  Actual     Status    
0      8          8          ✅ correct 
1      8          8          ✅ correct 
2      8          8          ✅ correct 
3      9          9          ✅ correct 
4      9          9          ✅ correct 
5      1          1          ✅ correct 
6      4          4          ✅ correct 
7      3          7          ❌ wrong   
8      9          9          ✅ correct 
9      9          9          ✅ correct 
10     9          9          ✅ correct 
11     0          0          ✅ correct 
12     2          2          ✅ correct 
13     0          0          ✅ correct 
14     5          5          ✅ correct 
15     9          9          ✅ correct 
16     3          3          ✅ correct 
17     7          7          ✅ correct 
18     0          0          ✅ correct 
19     4          4          ✅ correct 
20     6          6          ✅ correct 
21     8          8          ✅ correct 
22     7          7          ✅ correct 
23     6          6          ✅ correct 
24     6          6          ✅ correct 
25     0          0          ✅ correct 
26     4          4          ✅ correct 
27     0          0          ✅ correct 
28     4          4          ✅ correct 
29     1          1          ✅ correct 
30     9          9          ✅ correct 
31     3          3          ✅ correct 
32     5          5          ✅ correct 
33     4          4          ✅ correct 
34     4          4          ✅ correct 
35     1          1          ✅ correct 
36     1          1          ✅ correct 
37     0          0          ✅ correct 
38     9          9          ✅ correct 
39     7          7          ✅ correct 
40     8          8          ✅ correct 
41     9          3          ❌ wrong   
42     5          5          ✅ correct 
43     6          6          ✅ correct 
44     0          0          ✅ correct 
45     8          8          ✅ correct 
46     2          2          ✅ correct 
47     8          8          ✅ correct 
48     7          7          ✅ correct 
49     8          8          ✅ correct 
50     1          1          ✅ correct 
51     9          9          ✅ correct 
52     5          5          ✅ correct 
53     4          4          ✅ correct 
54     1          1          ✅ correct 
55     2          2          ✅ correct 
56     1          1          ✅ correct 
57     6          6          ✅ correct 
58     0          0          ✅ correct 
59     8          8          ✅ correct 
60     0          0          ✅ correct 
61     8          8          ✅ correct 
62     6          6          ✅ correct 
63     2          2          ✅ correct 
64     9          9          ✅ correct 
65     9          9          ✅ correct 
66     8          8          ✅ correct 
67     0          0          ✅ correct 
68     3          3          ✅ correct 
69     3          3          ✅ correct 
70     8          8          ✅ correct 
71     3          3          ✅ correct 
72     1          1          ✅ correct 
73     1          1          ✅ correct 
74     3          3          ✅ correct 
75     9          9          ✅ correct 
76     5          5          ✅ correct 
77     8          8          ✅ correct 
78     0          0          ✅ correct 
79     8          8          ✅ correct 
80     0          0          ✅ correct 
81     0          0          ✅ correct 
82     9          9          ✅ correct 
83     1          1          ✅ correct 
84     5          5          ✅ correct 
85     1          1          ✅ correct 
86     2          2          ✅ correct 
87     0          0          ✅ correct 
88     8          8          ✅ correct 
89     0          0          ✅ correct 
90     9          9          ✅ correct 
91     7          7          ✅ correct 
92     3          3          ✅ correct 
93     8          8          ✅ correct 
94     2          2          ✅ correct 
95     9          9          ✅ correct 
96     0          0          ✅ correct 
97     8          8          ✅ correct 
98     4          4          ✅ correct 
99     7          7          ✅ correct 
100    6          6          ✅ correct 
101    7          7          ✅ correct 
102    4          4          ✅ correct 
103    1          1          ✅ correct 
104    7          7          ✅ correct 
105    9          9          ✅ correct 
106    5          5          ✅ correct 
107    1          1          ✅ correct 
108    3          3          ✅ correct 
109    1          1          ✅ correct 
110    1          1          ✅ correct 
111    3          3          ✅ correct 
112    7          7          ✅ correct 
113    7          7          ✅ correct 
114    7          7          ✅ correct 
115    7          7          ✅ correct 
116    5          5          ✅ correct 
117    3          3          ✅ correct 
118    8          8          ✅ correct 
119    1          1          ✅ correct 
120    6          6          ✅ correct 
121    6          6          ✅ correct 
122    5          5          ✅ correct 
123    3          3          ✅ correct 
124    0          0          ✅ correct 
125    2          2          ✅ correct 
126    5          5          ✅ correct 
127    4          4          ✅ correct 
128    0          0          ✅ correct 
129    7          7          ✅ correct 
130    4          4          ✅ correct 
131    3          3          ✅ correct 
132    8          8          ✅ correct 
133    1          1          ✅ correct 
134    4          4          ✅ correct 
135    7          7          ✅ correct 
136    4          4          ✅ correct 
137    0          0          ✅ correct 
138    5          5          ✅ correct 
139    2          2          ✅ correct 
140    0          0          ✅ correct 
141    3          3          ✅ correct 
142    2          2          ✅ correct 
143    0          0          ✅ correct 
144    8          8          ✅ correct 
145    2          2          ✅ correct 
146    2          2          ✅ correct 
147    1          1          ✅ correct 
148    4          4          ✅ correct 
149    4          4          ✅ correct 
150    0          0          ✅ correct 
151    7          7          ✅ correct 
152    1          1          ✅ correct 
153    6          6          ✅ correct 
154    2          2          ✅ correct 
155    8          8          ✅ correct 
156    2          2          ✅ correct 
157    4          4          ✅ correct 
158    5          5          ✅ correct 
159    1          1          ✅ correct 
160    5          5          ✅ correct 
161    5          5          ✅ correct 
162    9          9          ✅ correct 
163    0          0          ✅ correct 
164    2          2          ✅ correct 
165    4          4          ✅ correct 
166    1          1          ✅ correct 
167    3          3          ✅ correct 
168    0          0          ✅ correct 
169    9          9          ✅ correct 
170    9          9          ✅ correct 
171    2          2          ✅ correct 
172    6          6          ✅ correct 
173    6          6          ✅ correct 
174    8          8          ✅ correct 
175    5          5          ✅ correct 
176    3          3          ✅ correct 
177    1          1          ✅ correct 
178    5          5          ✅ correct 
179    0          0          ✅ correct 
180    9          9          ✅ correct 
181    1          1          ✅ correct 
182    6          6          ✅ correct 
183    0          0          ✅ correct 
184    2          2          ✅ correct 
185    8          8          ✅ correct 
186    6          6          ✅ correct 
187    0          0          ✅ correct 
188    6          6          ✅ correct 
189    4          4          ✅ correct 
190    2          2          ✅ correct 
191    5          5          ✅ correct 
192    1          1          ✅ correct 
193    8          8          ✅ correct 
194    2          2          ✅ correct 
195    5          5          ✅ correct 
196    0          0          ✅ correct 
197    3          3          ✅ correct 
198    0          0          ✅ correct 
199    6          6          ✅ correct 
200    5          5          ✅ correct 
201    7          7          ✅ correct 
202    1          1          ✅ correct 
203    6          6          ✅ correct 
204    2          2          ✅ correct 
205    9          9          ✅ correct 
206    8          8          ✅ correct 
207    1          1          ✅ correct 
208    0          0          ✅ correct 
209    7          7          ✅ correct 
210    1          1          ✅ correct 
211    8          8          ✅ correct 
212    6          6          ✅ correct 
213    3          3          ✅ correct 
214    2          2          ✅ correct 
215    2          2          ✅ correct 
216    7          7          ✅ correct 
217    8          8          ✅ correct 
218    5          5          ✅ correct 
219    4          4          ✅ correct 
220    4          4          ✅ correct 
221    9          9          ✅ correct 
222    8          8          ✅ correct 
223    8          8          ✅ correct 
224    1          1          ✅ correct 
225    5          5          ✅ correct 
226    0          0          ✅ correct 
227    2          2          ✅ correct 
228    2          2          ✅ correct 
229    7          7          ✅ correct 
230    7          7          ✅ correct 
231    9          9          ✅ correct 
232    0          0          ✅ correct 
233    6          6          ✅ correct 
234    2          2          ✅ correct 
235    3          3          ✅ correct 
236    6          6          ✅ correct 
237    6          6          ✅ correct 
238    5          4          ❌ wrong   
239    6          6          ✅ correct 
240    7          7          ✅ correct 
241    0          0          ✅ correct 
242    9          9          ✅ correct 
243    1          9          ❌ wrong   
244    3          3          ✅ correct 
245    6          6          ✅ correct 
246    6          6          ✅ correct 
247    8          8          ✅ correct 
248    5          5          ✅ correct 
249    2          2          ✅ correct 
250    1          1          ✅ correct 
251    3          3          ✅ correct 
252    8          8          ✅ correct 
253    2          2          ✅ correct 
254    5          5          ✅ correct 
255    0          0          ✅ correct 
256    2          2          ✅ correct 
257    6          6          ✅ correct 
258    4          4          ✅ correct 
259    7          7          ✅ correct 
260    4          4          ✅ correct 
261    8          8          ✅ correct 
262    4          4          ✅ correct 
263    6          6          ✅ correct 
264    9          9          ✅ correct 
265    0          0          ✅ correct 
266    9          9          ✅ correct 
267    6          0          ❌ wrong   
268    2          2          ✅ correct 
269    0          0          ✅ correct 
270    8          8          ✅ correct 
271    4          4          ✅ correct 
272    1          1          ✅ correct 
273    6          6          ✅ correct 
274    7          7          ✅ correct 
275    1          1          ✅ correct 
276    8          8          ✅ correct 
277    1          1          ✅ correct 
278    2          2          ✅ correct 
279    9          9          ✅ correct 
280    1          1          ✅ correct 
281    7          7          ✅ correct 
282    2          2          ✅ correct 
283    2          2          ✅ correct 
284    0          0          ✅ correct 
285    0          0          ✅ correct 
286    7          7          ✅ correct 
287    8          8          ✅ correct 
288    3          3          ✅ correct 
289    1          1          ✅ correct 
290    3          3          ✅ correct 
291    7          7          ✅ correct 
292    0          0          ✅ correct 
293    2          2          ✅ correct 
294    3          3          ✅ correct 
295    8          8          ✅ correct 
296    8          8          ✅ correct 
297    5          5          ✅ correct 
298    1          1          ✅ correct 
299    3          3          ✅ correct 
300    5          5          ✅ correct 
301    5          5          ✅ correct 
302    6          6          ✅ correct 
303    0          0          ✅ correct 
304    4          4          ✅ correct 
305    4          4          ✅ correct 
306    7          7          ✅ correct 
307    6          6          ✅ correct 
308    9          9          ✅ correct 
309    4          4          ✅ correct 
310    6          6          ✅ correct 
311    6          6          ✅ correct 
312    3          3          ✅ correct 
313    8          8          ✅ correct 
